85.25.210.225 - - [14/Jun/2022:20:27:17 +0200] "GET /components/com_phocagallery/assets/images/icon-folder-medium.gif HTTP/1.1" 200 2901 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0" "-"
85.25.210.225 - - [14/Jun/2022:20:27:17 +0200] "GET /components/com_phocagallery/assets/images/icon-view.gif HTTP/1.1" 200 605 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0" "-"
54.36.148.144 - - [14/Jun/2022:20:38:39 +0200] "GET / HTTP/1.1" 200 10479 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "-"
3.101.57.128 - - [14/Jun/2022:20:52:37 +0200] "HEAD / HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36" "-"
111.90.150.171 - - [14/Jun/2022:20:53:23 +0200] "GET /wp-login.php HTTP/1.1" 404 218 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:96.0) Gecko/20100101 Firefox/96" "-"
185.7.217.108 - - [14/Jun/2022:21:00:06 +0200] "GET /apache-log/access.log HTTP/1.1" 200 1653477394 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.115 Safari/537.36" "-"
66.249.66.205 - - [14/Jun/2022:21:18:15 +0200] "GET /robots.txt HTTP/1.1" 200 304 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "-"
66.249.66.1 - - [14/Jun/2022:21:18:22 +0200] "GET /apache-log/access.log HTTP/1.1" 200 16678096 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.61 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "-"
5.227.26.18 - - [14/Jun/2022:21:18:51 +0200] "GET /apache-log/access.log HTTP/1.1" 200 411792 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36 Edg/102.0.1245.39" "-"
64.124.8.49 - - [14/Jun/2022:21:20:20 +0200] "GET /robots.txt HTTP/1.1" 200 304 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36" "-"
5.227.26.18 - - [14/Jun/2022:21:20:37 +0200] "GET /apache-log/access.log HTTP/1.1" 200 139294496 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36 Edg/102.0.1245.39" "-"
104.47.70.126 - - [14/Jun/2022:21:22:16 +0200] "GET /apache-log/access.log HTTP/1.1" 200 24576 "-" "-" "-"
40.94.33.56 - - [14/Jun/2022:21:22:58 +0200] "GET /apache-log/access.log HTTP/1.1" 200 57441496 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.87 Safari/537.36" "-"
31.154.17.54 - - [14/Jun/2022:21:34:06 +0200] "GET /apache-log/access.log HTTP/1.1" 200 938373958 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36" "-"
138.122.192.113 - - [14/Jun/2022:21:35:09 +0200] "GET /apache-log/access.log HTTP/1.0" 200 18202624 "http://www.almhuette-raith.at/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3397.0 Safari/537.36" "-"
138.122.192.113 - - [14/Jun/2022:21:35:48 +0200] "GET /apache-log/access.log HTTP/1.0" 200 10285728 "http://www.almhuette-raith.at/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3397.0 Safari/537.36" "-"
18.130.192.106 - - [14/Jun/2022:21:48:00 +0200] "GET /apache-log/access.log HTTP/1.1" 200 122608544 "-" "Wget/1.14 (linux-gnu)" "-"
31.154.17.54 - - [14/Jun/2022:21:58:14 +0200] "GET /apache-log/access.log HTTP/1.1" 200 1117275594 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36" "-"
104.144.181.214 - - [14/Jun/2022:22:02:46 +0200] "GET /apache-log/access.log HTTP/1.1" 200 48436168 "http://www.almhuette-raith.at/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.170 Safari/537.36" "-"
